слово,частота
племенному,1
плетнемъ,1
по,11
по-моему,1
побывалъ,1
повернулся,1
поверхъ,2
поворачивался,1
повѣрье,2
повѣрьте,1
поглядите,1
погода,1
подали,1
подарить,1
подарокъ,1
подбѣжавъ,1
подобными,1
подошелъ,2
подумала,1
подумалъ,1
подъ,1
пожать,1
позабыли,1
пока,2
показалось,1
покачала,1
покойны,1
покупали,1
покупалъ,2
покупать,3
покупки,3
покупщикъ,2
полезно,1
полезны,1
полезныя,2
полное,1
полномъ,1
полночь,1
полночью,1
полную,1
положеніи,2
положить,1
полосатый,1
получили,2
получилъ,1
получить,2
полушубка,4
пользу,1
пользы,1
помни,2
помню,1
помнятъ,1
понимаете,1
понимаю,1
понялъ,2
понять,2
попался,1
попозже,1
попрежнему,1
попробуй,1
порицанія,1
поръ,2
посильнѣе,1
послала,1
послушайте,1
послѣ,3
посмотримъ,1
посмотрѣлъ,2
поспѣшилъ,1
постарался,1
поступилъ,1
потерять,1
потому,11
потомъ,3
похвально,1
походить,1
почувствовалъ,2
пошли,2
поясной,1
поѣдемъ,1
поѣзжай,1
права,1
правда,1
правду,1
преблагополучно,1
превосходномъ,1
превосходныя,1
предупредила,1
прежде,1
прекрасно,2
прекрасныхъ,1
прекрасныя,1
претерпѣть,1
при,3
привлекательнаго,1
привозимыя,1
привозятъ,1
придетъ,2
придтись,1
приду,1
призваніе,1
признаться,1
принарядиться,1
принесетъ,1
принесу,1
принялъ,1
природы,1
притомъ,1
приходской,1
приходъ,1
про,2
провидѣніе,1
продавать,1
продавецъ,1
продамъ,1
продать,1
продолжаетъ,1
произведеніе,1
произведенія,1
происходило,1
пролетѣла,1
пропалъ,1
прославляли,1
проснешься,1
проснулся,1
простой,1
простые,2
прочимъ,2
прочитаю,1
прошептала,1
прошу,1
проще,1
пряники,2
пріобрѣтеніе,1
псалмы,1
псалтирь,1
псалтиря,1
пуговицами,2
пуговицу,2
пуговицы,3
пузанъ,1
пузатый,1
пузатымъ,1
пустого,1
пустое,2
пустъ,1
пусть,1
путь,1
пшеномъ,1
пятая,1
пѣть,1
рада,2
радости,2
радость,1
радостію,1
раза,1
развивается,1
разодѣты,1
разсказать,1
разумѣется,1
разъ,8
разѣ,1
распространилась,1
распутьѣ,1
распутіи,1
растаялъ,1
расходы,2
ребятишкахъ,1
ребятишки,2
ремень,1
ремнемъ,1
рискованныя,1
ровно,2
рожденіи,1
рождественскою,1
рождественскую,2
рождественскій,2
розовое,1
рублей,1
рублемъ,2
рубли,1
рубль,42
рублю,2
рубля,1
рукахъ,1
руководиться,1
рукою,2
руку,9
рукѣ,1
русскаго,1
рюшевыми,2
рядятся,1
рѣзвиться,1
рѣзь,1
рѣшила,1
самого,1
самое,3
самому,1
самомъ,2
самонадѣянъ,1
самую,1
самъ,3
самые,1
самый,2
самыя,1
сверхъ,2
свистулекъ,2
свистульками,1
свистулькахъ,1
свистульки,1
свистулькѣ,2
свободнаго,1
своей,2
своему,1
своемъ,4
своею,1
свои,1
своимъ,1
своихъ,3
свой,1
свойство,3
свою,2
свѣтитъ,1
свѣтятъ,1
свѣтѣ,2
сдачи,1
сдачу,1
сдѣлавши,1
сдѣлаетъ,1
сдѣлались,1
сдѣлалъ,1
сдѣлано,1
сдѣлать,4
сдѣлаться,1
себя,6
себѣ,6
седьмая,1
сейчасъ,2
семей,1
сердоликовыя,1
сердце,1
сердцемъ,1
серебряную,1
серебряный,3
сила,1
силу,2
ситцы,1
скажетъ,2
сказала,10
сказали,1
сказалъ,2
сказать,2
сказкахъ,1
склонны,1
сколько,3
скорбѣла,1
скорѣе,2
скорѣй,1
скотница,1
скотницею,1
скотницы,1
скупить,1
скучно,1
слабое,1
славу,1
сластей,2
слиться,1
слишкомъ,2
словахъ,1
словомъ,1
служить,1
случаѣ,1
слѣдовало,1
слѣдуетъ,2
смотрите,1
смотрѣла,1
смотрѣли,3
смотрѣлъ,1
смыслъ,1
смѣлѣе,1
смѣялись,1
снимайте,1
снова,2
сновидѣніи,1
снявъ,1
снѣ,4
со,4
собою,1
совершенно,1
совѣтовъ,1
совѣтъ,1
совѣты,1
согласилась,1
сокрытъ,1
солнцемъ,1
сомнѣвается,1
сонъ,2
соображеніямъ,1
составлявшій,1
составляли,1
сосульки,1
сохранить,1
спать,1
спи,1
спросилъ,1
спутнику,1
спятъ,1
спѣшитъ,1
сравненіи,1
средствами,1
сробѣлъ,1
стало,1
сталъ,4
станетъ,1
становится,1
старая,1
старики,1
старой,1
старушка,2
старушкамъ,1
старушки,1
стать,2
стекловидную,1
стекловидными,2
стекловидныя,1
стеклышки,1
стекляшками,2
сто,2
стоимъ,1
стоитъ,2
столбики,1
столѣ,1
сторгуешь,1
сторону,2
стороны,1
стояла,2
стояли,1
страхи,1
страшнѣе,1
суета,2
сумѣетъ,1
сухого,1
сухой,1
счастливы,1
счастливый,1
счастіе,2
счастія,1
счетъ,1
съ,27
т,1
также,2
такое,2
такой,4
такомъ,2
такою,1
такую,1
такъ,11
талантъ,2
тамъ,1
твоемъ,4
твой,4
тебя,6
тебѣ,5
теленку,1
теленокъ,1
теперь,5
теплаго,1
то,11
то-есть,1
тогда,2
того,3
тоже,6
толще,1
только,8
томительно,1
томъ,2
торговать,1
торговаться,1
торговцевъ,1
тотъ,3
точно,1
требовать,2
третья,1
ту,1
тусклое,2
ты,21
тѣ,1
тѣмъ,4
тѣхъ,2
у,13
убавитъ,1
увидите,1
увидѣлъ,1
увлекательнымъ,1
увлеченія,1
увѣренъ,2
увѣрилъ,1
углы,1
удивленію,1
удивлять,1
удовольствіе,2
удовольствіемъ,1
удовольствій,1
удовольствія,2
ужасно,1
уже,11
ужъ,3
укладывая,1
улыбаясь,1
улыбнулась,1
улыбнулся,1
уменъ,1
умомъ,2
умъ,1
умѣренный,1
уплату,1
урокъ,1
утро,1
утѣшеніе,1
уходить,1
финики,1
хвалили,1
хлопотать,1
ходили,2
ходятъ,1
хорошаго,1
хорошая,1
хорошее,1
хорошенько,1
хорошо,4
хорошъ,1
хотите,1
хоть,1
хотя,1
хотѣлось,2
хотѣлъ,1
хочешь,1
центръ,1
церкви,1
церковь,2
цѣлехонекъ,1
цѣлую,2
цѣлъ,1
цѣлымъ,1
цѣну,1
чай,1
часто,1
часъ,1
чего,1
человѣка,4
человѣку,2
человѣкъ,5
чемъ,4
чепцѣ,2
черную,2
черпаетъ,1
четвертая,1
четырехъ,2
чистую,1
читать,1
что,59
что-нибудь,1
что-то,1
чтобы,14
чувство,1
чудесной,1
чѣмъ,1
шага,1
шестая,1
шире,1
шли,2
шмотья,1
штука,1
щегольскимъ,1
эти,4
этимъ,1
это,25
этого,1
этой,3
этому,2
этомъ,3
этот,1
этотъ,4
эту,1
я,77
является,2
ярмарка,1
ярмарку,4
ярмаркѣ,2
ярмарочныхъ,1
яснымъ,1
—,90
